"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0015909","long-chain fatty acid transport","5/272","71/28832",0.0704225352112676,7.46478873239437,5.32251291167661,0.000564329837419129,0.00780024285159958,0.00557168589222215,"Akt1/Akt2/Cd36/Fabp4/Thbs1",5,"BP"
"GO:0046034","ATP metabolic process","9/272","247/28832",0.0364372469635627,3.86234817813765,4.40896897106569,0.000601361269980616,0.00827509566302178,0.00591087157664485,"Aldoa/Aldoart2/Bpgm/Mtch2/Ndufab1/Ndufb1/Ndufb4/Ndufb6/Ndufb7",9,"BP"
"GO:0033674","positive regulation of kinase activity","10/272","300/28832",0.0333333333333333,3.53333333333333,4.30449354376952,0.000606156746685366,0.00827509566302178,0.00591087157664485,"Abi2/Akt1/Camk1/Dstyk/Emp2/Fbn1/Prkcd/Ptk2/Tab1/Thbs1",10,"BP"
"GO:0042308","negative regulation of protein import into nucleus","3/272","18/28832",0.166666666666667,17.6666666666667,6.90269095552289,0.0006101083792841,0.00827509566302178,0.00591087157664485,"Apod/Cd36/Ei24",3,"BP"
"GO:0071025","RNA surveillance","3/272","18/28832",0.166666666666667,17.6666666666667,6.90269095552289,0.0006101083792841,0.00827509566302178,0.00591087157664485,"Exosc10/Exosc8/Wdr82",3,"BP"
"GO:0030162","regulation of proteolysis","13/272","473/28832",0.0274841437632135,2.91331923890063,4.09456487033755,0.00061051606550175,0.00827509566302178,0.00591087157664485,"Akt1/Cav1/Cfl1/Csnk1a1/Cstb/Ecm1/Kng2/Psme2/Ptk2/Rcn3/Rps7/Tgfb1i1/Thbs1",13,"BP"
"GO:1905039","carboxylic acid transmembrane transport","7/272","152/28832",0.0460526315789474,4.88157894736842,4.68247910095282,0.000622769178289263,0.008408586164006,0.00600622336956074,"Akt1/Akt2/Arl6ip1/Cd36/Mpc2/Prkcd/Thbs1",7,"BP"
"GO:0045807","positive regulation of endocytosis","8/272","199/28832",0.0402010050251256,4.26130653266332,4.5052607901374,0.000635989723430267,0.00855406178013709,0.00611013608785435,"C3/Cav1/Cd36/Dnm2/Ppt1/Ptk2/Sod1/Tor1a",8,"BP"
"GO:0006801","superoxide metabolic process","5/272","73/28832",0.0684931506849315,7.26027397260274,5.22640527030336,0.000641160449790559,0.00855777898060146,0.0061127912710044,"Akt1/Cd36/Mb/Prkcd/Sod1",5,"BP"
"GO:0015986","proton motive force-driven ATP synthesis","5/272","73/28832",0.0684931506849315,7.26027397260274,5.22640527030336,0.000641160449790559,0.00855777898060146,0.0061127912710044,"Ndufab1/Ndufb1/Ndufb4/Ndufb6/Ndufb7",5,"BP"
"GO:0120033","negative regulation of plasma membrane bounded cell projection assembly","4/272","42/28832",0.0952380952380952,10.0952380952381,5.75642815652102,0.000654122216006411,0.0086975870318419,0.0062126556677335,"Akt1/Cfl1/Dnm2/Prkcd",4,"BP"
"GO:0034764","positive regulation of transmembrane transport","9/272","251/28832",0.0358565737051793,3.800796812749,4.34925586538916,0.000674321459023195,0.00893220508410648,0.00638024251300654,"Akt1/Akt2/Arl6ip1/Atp2a1/C3/Cav1/Fxyd2/Prkcd/Sri",9,"BP"
"GO:0043603","amide metabolic process","13/272","479/28832",0.0271398747390397,2.8768267223382,4.04229151120586,0.000685788287792556,0.00904981751853045,0.00646425265911315,"Abca8a/Cd36/Dcakd/Gla/Gsta4/Hal/Hexa/Mpc2/Pam/Prkcd/Rock1/Smpd2/Sod1",13,"BP"
"GO:0045019","negative regulation of nitric oxide biosynthetic process","3/272","19/28832",0.157894736842105,16.7368421052632,6.69630693171101,0.000719467557628081,0.00926885178436345,0.00662070806083243,"Cav1/Gla/Ptgis",3,"BP"
"GO:0045986","negative regulation of smooth muscle contraction","3/272","19/28832",0.157894736842105,16.7368421052632,6.69630693171101,0.000719467557628081,0.00926885178436345,0.00662070806083243,"Calca/Gucy1a1/Sod1",3,"BP"
"GO:0050999","regulation of nitric-oxide synthase activity","3/272","19/28832",0.157894736842105,16.7368421052632,6.69630693171101,0.000719467557628081,0.00926885178436345,0.00662070806083243,"Akt1/Cav1/Gla",3,"BP"
"GO:1900102","negative regulation of endoplasmic reticulum unfolded protein response","3/272","19/28832",0.157894736842105,16.7368421052632,6.69630693171101,0.000719467557628081,0.00926885178436345,0.00662070806083243,"Akt1/Akt2/Akt3",3,"BP"
"GO:1904406","negative regulation of nitric oxide metabolic process","3/272","19/28832",0.157894736842105,16.7368421052632,6.69630693171101,0.000719467557628081,0.00926885178436345,0.00662070806083243,"Cav1/Gla/Ptgis",3,"BP"
"GO:0019915","lipid storage","6/272","113/28832",0.0530973451327434,5.6283185840708,4.81075249564993,0.000725527173135746,0.00926885178436345,0.00662070806083243,"C3/Cav1/Cd36/Ces1c/Gla/Hexa",6,"BP"
"GO:0170062","nutrient storage","6/272","113/28832",0.0530973451327434,5.6283185840708,4.81075249564993,0.000725527173135746,0.00926885178436345,0.00662070806083243,"C3/Cav1/Cd36/Ces1c/Gla/Hexa",6,"BP"
"GO:0010761","fibroblast migration","5/272","75/28832",0.0666666666666667,7.06666666666667,5.13386187308111,0.000725567143913666,0.00926885178436345,0.00662070806083243,"Akt1/Coro1c/Gna13/Ptk2/Thbs1",5,"BP"
