Accession,Protein Name,Description,Gene Name,XIC S03,XIC S03bis,XIC S04,XIC S05,XIC S06,XIC S06bis,XIC S07,XIC S07bis,XIC S08,XIC S09,XIC S10,XIC S11,XIC S11bis,XIC S12,XIC S12bis,XIC S13,XIC S14,XIC S15
Q9D358,PPAC_MOUSE,Low molecular weight phosphotyrosine protein phosphatase OS=Mus musculus OX=10090 ,Acp1,30806200,48804500,24511500,32679500,23281700,31943100,32222100,29655100,39258500,30339700,22021900,32202200,31416600,33519700,36762000,36914200,32365900,37055700
P24638,PPAL_MOUSE,Lysosomal acid phosphatase OS=Mus musculus OX=10090 ,Acp2,425590,711802,754653,559255,1000890,596597,444015,775163,735597,491570,737889,917094,1016350,926975,768001,613953,,929215
Q8CE08,PPAP_MOUSE,Prostatic acid phosphatase OS=Mus musculus OX=10090 ,Acp3,495946,525655,,559358,851488,871085,872228,800251,385655,570840,865396,747884,975143,640546,850746,545765,470171,780185
Q8BP40,PPA6_MOUSE,Lysophosphatidic acid phosphatase type 6 OS=Mus musculus OX=10090 ,Acp6,19858100,18643100,17274700,12812000,15199700,14856200,22544200,20608000,20337900,15200200,11022500,9992510,13187500,18262300,17069800,15579300,12370300,11305800
Q8VCW8,ACSF2_MOUSE,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial OS=Mus musculus OX=10090 ",Acsf2,5321040,5589360,6079630,6024120,5325020,4733480,4473560,5135840,5318470,5524440,5318530,4720370,5255990,6291560,6213540,5528740,4589590,4717920
Q3URE1,ACSF3_MOUSE,"Malonate--CoA ligase ACSF3, mitochondrial OS=Mus musculus OX=10090 ",Acsf3,622953,445201,774203,752124,,630943,283209,319139,,691399,225402,,,440203,623300,448597,618568,308436
P41216,ACSL1_MOUSE,Long-chain-fatty-acid--CoA ligase 1 OS=Mus musculus OX=10090 ,Acsl1,20789900,21430600,28101700,19703000,14561900,17062000,37516400,38176500,26573700,12896000,9471350,20183400,19442200,24923800,24842000,10008900,16572200,10667700
Q9CZW4,ACSL3_MOUSE,Fatty acid CoA ligase Acsl3 OS=Mus musculus OX=10090 ,Acsl3,,950802,1117510,1271570,964306,505184,923342,836253,861586,1199900,656381,,1146710,,607376,1007640,787297,726791
Q9QUJ7,ACSL4_MOUSE,Long-chain-fatty-acid--CoA ligase 4 OS=Mus musculus OX=10090 ,Acsl4,,,3212510,,,,5390280,,2592360,,,,,2266870,,,,
Q8JZR0,ACSL5_MOUSE,Long-chain-fatty-acid--CoA ligase 5 OS=Mus musculus OX=10090 ,Acsl5,543931,562478,,,485192,,975441,,,,658102,,,874550,,518467,,
Q91WC3,ACSL6_MOUSE,Long-chain-fatty-acid--CoA ligase 6 OS=Mus musculus OX=10090 ,Acsl6,4050230,12190300,3028060,4918020,7236480,6707190,8264260,6644720,9044310,415037,9565630,7062560,8688420,6622260,7604510,10576100,9343040,8145710
Q3UNX5,ACSM3_MOUSE,"Acyl-coenzyme A synthetase ACSM3, mitochondrial OS=Mus musculus OX=10090 ",Acsm3,545628,685441,,,,,774945,707242,,377892,435571,,,914608,1000370,,588707,
Q99NB1,ACS2L_MOUSE,"Acetyl-coenzyme A synthetase 2-like, mitochondrial OS=Mus musculus OX=10090 ",Acss1,,,,,,,2811980,,,,,,,,,,,
Q9QXG4,ACSA_MOUSE,"Acetyl-coenzyme A synthetase, cytoplasmic OS=Mus musculus OX=10090 ",Acss2,8665650,5771430,,3272110,4862000,4054560,4260740,5364160,4033020,6917560,3798160,4987940,4541320,5145530,5934220,3881780,2884980,4746430
Q8BFZ3,ACTBL_MOUSE,Beta-actin-like protein 2 OS=Mus musculus OX=10090 ,Actbl2,817601000,2673500000,517724000,4052410000,2169120000,3560190000,2040680000,3262970000,2348420000,,3295360000,3237150000,3502090000,,3684680000,2568250000,4100390000,3002820000
P63268,ACTH_MOUSE,"Actin, gamma-enteric smooth muscle OS=Mus musculus OX=10090 ",Actg2,388616,268083,402194,517663,416768,377879,414814,368778,531396,,368747,311433,351945,399644,341310,521733,428735,457477
Q9Z2N8,ACL6A_MOUSE,Actin-like protein 6A OS=Mus musculus OX=10090 ,Actl6a,,,,,360897,498056,384748,553232,,,434423,461680,,516472,367361,,,277605
Q7TPR4,ACTN1_MOUSE,Alpha-actinin-1 OS=Mus musculus OX=10090 ,Actn1,22772100,22150600,17674500,23047000,22026300,22549500,18521600,16351300,28671500,27481300,20933000,37321200,31287500,34120800,27452900,21499300,27293200,20752600
Q9JI91,ACTN2_MOUSE,Alpha-actinin-2 OS=Mus musculus OX=10090 ,Actn2,,,,,,,98229500,87245400,,,,,,,,5605080,,
O88990,ACTN3_MOUSE,Alpha-actinin-3 OS=Mus musculus OX=10090 ,Actn3,,9170410,,4810450,8531940,7817080,177437000,187602000,3430790,,,1815390,2347310,487591,,13548500,,
P57780,ACTN4_MOUSE,Alpha-actinin-4 OS=Mus musculus OX=10090 ,Actn4,18507600,31641900,22983100,29577200,27143300,31579100,27815300,26752000,33284300,21807000,28292500,36174200,37242800,30678300,34829400,28719000,33997000,30820100
Q9QZB7,ARP10_MOUSE,Actin-related protein 10 OS=Mus musculus OX=10090 ,Actr10,3716120,5771700,4392040,12509400,5274880,7613620,4472450,7169810,6846790,3691720,11929500,4973100,6673020,5193610,6742230,4491590,6235980,7058530
P61164,ACTZ_MOUSE,Alpha-centractin OS=Mus musculus OX=10090 ,Actr1a,35172700,21804100,31113600,43075200,36826500,46245600,44709300,42293300,6636280,22554000,40734600,35752800,44848700,41346600,42715200,22535900,43194200,39871400
Q8R5C5,ACTY_MOUSE,Beta-centractin OS=Mus musculus OX=10090 ,Actr1b,29416300,17633500,21503400,22182500,25559000,27114600,29345700,31689700,14307500,15022100,30231800,25196200,24800900,30252300,28983000,4666790,22869300,32275200
P61161,ARP2_MOUSE,Actin-related protein 2 OS=Mus musculus OX=10090 ,Actr2,30060200,26367600,32598100,23702500,26372100,24064600,26122700,29789400,28275100,32311200,27336900,27608600,26806100,24026600,26524400,24379900,26633400,27717400
